Type,Subtype,X,Y
Player,,0,0
Block,Tree,6,0
Item,SpeedBoost,10,0
Item,Shield,2,1
Block,Box,5,1
Enemy,Turret,9,1
Item,FireRateIncrease,12,1
Item,MedStrong,3,2
Block,OilBarrel_Red,7,2
//Enemy,Plane,10,2
Item,MedWeak,13,2
Block,Tree,5,3
Item,Teleporter,11,3
//Enemy,TurningTank,13,3
Block,Tree,5,4
Block,Box,2,4
//Enemy,BossTank,9,4
Item,MedWeak,11,4
Block,Tree,5,5
Block,OilBarrel_Black,3,5
Item,TimeSlow,10,5
//Enemy,Turret,12,5
//Enemy,SmallEnemy,2,6
Block,Oil,7,6
//Enemy,Plane,9,6
Item,Cloak,12,6
Block,BarbedFence,1,7
Item,SilverTag,4,7
//Enemy,BossTank,8,7
Item,GoldTag,11,7
Block,Box,13,7
