,Block_Tree_0,,
,,Block_Tree_0,
,,Block_RedBarrel_0,
Block_BarbedFence_0,,,
,,,
,,,Block_Tree_0
,,,
,Block_SmallBarrel_0,Block_Box_180,Block_Oil_0
,,,
,,,
,,,
Block_Tree_0,Block_BarbedFence_0,,
,,Block_BarbedFence_0,
,,,
,,,
,,,
,,,
Block_RockPileVar1_0,,,Block_Box_180
,,,
,Block_Tree_0,,
,,Block_RockPileVar1_0,
,,Block_SmallBarrel_0,
,Block_BarbedFence_0,,
Block_Box_90,,,
,,Block_RockPileVar1_0,
,,,
,,,
,,,
,,,
Block_RockPileVar1_0,,,Block_Box_0
,,,
Block_Tree_0,,,
,,,
,Block_RockPileVar1_0,,
,,,
Block_Box_180,,,
,,,
,,Block_SmallTree_0,
,,Block_SmallTree_0,
Block_House2_0,Block_SmallTree_0,,
,,,
,,,Block_Box_90
Block_BarbedFence_0,,,
,Block_BarbedFence_0,,
,,Block_RockPileVar1_0,
,,,Block_RockPileVar2_0
,,,
Block_Oil_0,,,
,,,
Block_Tree_0,,Block_SmallTree_0,
,,,
,,,
,,,Block_SmallTree_0
,Block_Tree_0,Block_SmallTree_0,Block_House2_0
Block_Oil_0,,,
,,Block_SmallTree_0,
,,Block_Tree_0,Block_SmallTree_0
,,,
,,,
Block_RockPileVar1_0,,,
,,,
,Block_RockPileVar1_0,,
,,,
,,,Block_RockPileVar1_0
,Block_SmallBarrel_0,,
,,,Block_Box_0
,,Block_SmallTree_0,
Block_House_0,,,
,Block_BarbedFence_0,,
,,Block_BarbedFence_0,
,,,
Block_Box_180,,,
Block_Oil_0,,,Block_RockPileVar1_0
,,,
,,Block_SmallTree_0,
,,,
,,,
,Block_BarbedFence_0,Block_BarbedFence_0,Block_Box_90
,,,
Block_RockPileVar1_0,,Block_Tree_0,
,,,
,,,
,,,
,Block_Oil_0,,
,,Block_Oil_0,
,,,
,,,
Block_RedBarrel_0,,,Block_Tree_0
,,,
,,,Block_Tree_0
,,,
Block_Tree_0,Block_SmallTree_0,,
Block_SmallTree_0,Block_Tree_0,,
,,,
,,Block_Tree_0,
,Block_RedBarrel_0,,
Block_Oil_0,,,
,,,
,,,Block_Tree_0
,,,
Block_Tree_0,,,
Block_RedBarrel_0,,Block_RockPileVar2_0,
,,,Block_Factory_0
,Block_BarbedFence_0,,
Block_BarbedFence_0,,Block_BarbedFence_0,
,,,
,,,
,,Block_BarbedFence_0,Block_RockPileVar2_0
,,,Block_BarbedFence_0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
